08-01-2019;18-19;282.91
08-01-2019;19-20;237.71
08-01-2019;20-21;208.66
08-01-2019;21-22;184.54
08-01-2019;22-23;212.17
08-01-2019;23-00;209.19
09-01-2019;00-01;202.32
09-01-2019;01-02;164.57
09-01-2019;02-03;72.9
09-01-2019;03-04;37.16
09-01-2019;04-05;68.81
09-01-2019;05-06;109.17
09-01-2019;06-07;209.77
09-01-2019;07-08;240.97
09-01-2019;08-09;242.23
09-01-2019;09-10;240.22
09-01-2019;10-11;239.26
09-01-2019;11-12;240.67
09-01-2019;12-13;238.59
09-01-2019;13-14;236.8
09-01-2019;14-15;234.34
09-01-2019;15-16;233.82
09-01-2019;16-17;240.15
09-01-2019;17-18;244.77
09-01-2019;18-19;241.56
09-01-2019;19-20;234.56
09-01-2019;20-21;227.79
09-01-2019;21-22;224.51
09-01-2019;22-23;217.66
09-01-2019;23-00;212.67
10-01-2019;00-01;214.98
10-01-2019;01-02;210.74
10-01-2019;02-03;208.13
10-01-2019;03-04;200.39
10-01-2019;04-05;198.3
10-01-2019;05-06;230.17
10-01-2019;06-07;259.66
10-01-2019;07-08;327.72
10-01-2019;08-09;357.28
10-01-2019;09-10;357.28
10-01-2019;10-11;357.73
10-01-2019;11-12;355.79
10-01-2019;12-13;350.66
10-01-2019;13-14;328.76
10-01-2019;14-15;342.32
10-01-2019;15-16;348.72
10-01-2019;16-17;364.13
10-01-2019;17-18;386.47
10-01-2019;18-19;392.36
10-01-2019;19-20;365.62
10-01-2019;20-21;297.86
10-01-2019;21-22;266.66
10-01-2019;22-23;247.52
10-01-2019;23-00;252.14
11-01-2019;00-01;230.92
11-01-2019;01-02;223.62
11-01-2019;02-03;222.36
11-01-2019;03-04;223.17
11-01-2019;04-05;230.47
11-01-2019;05-06;247.52
11-01-2019;06-07;309.03
11-01-2019;07-08;382.53
11-01-2019;08-09;414.4
11-01-2019;09-10;410.38
11-01-2019;10-11;410.53
11-01-2019;11-12;406.36
11-01-2019;12-13;393.63
11-01-2019;13-14;349.02
11-01-2019;14-15;371.66
11-01-2019;15-16;389.31
11-01-2019;16-17;408.15
11-01-2019;17-18;419.84
11-01-2019;18-19;417.75
11-01-2019;19-20;300.47
11-01-2019;20-21;297.57
11-01-2019;21-22;253.26
11-01-2019;22-23;298.61
11-01-2019;23-00;223.84
12-01-2019;00-01;223.38
12-01-2019;01-02;219.06
12-01-2019;02-03;217.42
12-01-2019;03-04;217.27
12-01-2019;04-05;220.4
12-01-2019;05-06;232.46
12-01-2019;06-07;247.36
12-01-2019;07-08;329.04
12-01-2019;08-09;350.56
12-01-2019;09-10;330.23
12-01-2019;10-11;324.42
12-01-2019;11-12;323.45
12-01-2019;12-13;294.71
12-01-2019;13-14;280.19
12-01-2019;14-15;273.49
12-01-2019;15-16;262.1
12-01-2019;16-17;294.56
12-01-2019;17-18;305.66
12-01-2019;18-19;286.52
12-01-2019;19-20;246.54
12-01-2019;20-21;235
12-01-2019;21-22;234.18
12-01-2019;22-23;226.06
12-01-2019;23-00;219.95
13-01-2019;00-01;224.56
13-01-2019;01-02;220.68
13-01-2019;02-03;217.18
13-01-2019;03-04;215.47
13-01-2019;04-05;214.43
13-01-2019;05-06;215.84
13-01-2019;06-07;218.6
13-01-2019;07-08;225.53
13-01-2019;08-09;229.77
13-01-2019;09-10;234.69
13-01-2019;10-11;236.92
